id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Program Files\projects\cheathub\frontend\src\components\collections\collection\index.tsx,CollectionItem,Large Component,LOC: 142; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
2,C:\Program Files\projects\cheathub\frontend\src\components\collections\collection\index.tsx,CollectionItem,Too many props,"Number of props: 18; Props: collection,id,index,setId,expanded,setExpanded,setSelections,selectedSnippetId,setSelectedSnippetId,setExpandedSnippet,setHeading,readonly,bg,open,collapsed,duration,ease,borderRadius",,
3,C:\Program Files\projects\cheathub\frontend\src\components\collections\crud\index.tsx,CollectionCrud,Large Component,LOC: 246; Number of props: 21; Number of attributes: 0; Number of methods: 0,,
4,C:\Program Files\projects\cheathub\frontend\src\components\collections\crud\index.tsx,CollectionCrud,Too many props,"Number of props: 21; Props: name,setName,handleSubmit,handleDelete,snippets,setSnippets,handleCancel,setAlert,editing,deleting,submitting,snippetsOptions,open,collapsed,duration,ease,menu,borderRadius,borderColor,spacing,colors",,
5,C:\Program Files\projects\cheathub\frontend\src\components\collections\snippets\index.tsx,SnippetItem,Large Component,LOC: 160; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
6,C:\Program Files\projects\cheathub\frontend\src\components\collections\snippets\index.tsx,SnippetItem,Too many props,"Number of props: 17; Props: snippet,index,selectedSnippetId,setSelectedSnippetId,expandedSnippet,setExpandedSnippet,editing,username,setTags,faveSnippet,handleFave,faving,border,open,collapsed,duration,ease",,
7,C:\Program Files\projects\cheathub\frontend\src\components\navigation\actions\index.tsx,Actions,Large Component,LOC: 206; Number of props: 13; Number of attributes: 0; Number of methods: 0,,
8,C:\Program Files\projects\cheathub\frontend\src\components\search\search-bar.tsx,SearchBar,Large Component,LOC: 137; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
9,C:\Program Files\projects\cheathub\frontend\src\components\search\search-bar.tsx,SearchBar,Too many props,"Number of props: 18; Props: searchText,onSearchTextChange,language,onLanguageChange,tags,onTagsChange,allTags,resetAll,heading,children,value,label,base,lg,open,collapsed,duration,ease",,
10,C:\Program Files\projects\cheathub\frontend\src\containers\default.container.tsx,Page,Large Component,LOC: 120; Number of props: 22; Number of attributes: 0; Number of methods: 0,,
